id,index,center,device_loc,petal_id,x,y,z,q,s,t,pinhole1,pinhole2,pinhole3,pinhole4
1517,P108,"{'z': -18.973791065, 'x': 393.68109523, 'y': 113.652288225}",517,5,393.68109523,113.652288225,-18.973791065,-55.897033833848134,410.35923844091076,-0.0707509212490799,"{'z': -18.911868079999998, 'x': 393.01682223999995, 'y': 113.99565691999999, 'error': 0.00043000874340500005}","{'z': -18.93962604, 'x': 393.71698147999996, 'y': 112.55710498, 'error': -0.00059647815897}","{'z': -19.07488702, 'x': 394.08756894, 'y': 114.51635698, 'error': -0.00046248646193700006}","{'z': -18.96878312, 'x': 393.90300826, 'y': 113.54003402000001, 'error': -0.0012602184267980002}"
1239,P115,"{'z': -7.616324649999999, 'x': 215.32764459499998, 'y': 149.768727355}",239,5,215.32764459499998,149.768727355,-7.616324649999999,-37.179889280073105,262.4421937889273,-0.06823838140353607,"{'z': -7.57648508, 'x': 214.74540486, 'y': 149.29780522000001, 'error': 5.299076875076025e-06}","{'z': -7.658072899999999, 'x': 216.34359876, 'y': 149.35605188, 'error': 0.000463581237057}","{'z': -7.629956219999999, 'x': 214.70044711999998, 'y': 150.4950532, 'error': -0.0009543433481990001}","{'z': -7.6007844, 'x': 215.52112763999997, 'y': 149.92599912, 'error': -0.00017687028870900002}"
1542,P128,"{'z': -19.24359777, 'x': 356.9720995, 'y': 202.35170724}",542,5,356.9720995,202.35170724,-19.24359777,-42.453015541817685,410.9617271800388,-0.2824164148431063,"{'z': -19.171984979999998, 'x': 356.65358954000004, 'y': 201.67827582, 'error': -0.001510486608767}","{'z': -19.373569879999998, 'x': 358.06298692, 'y': 202.41519426, 'error': 0.003535692896495}","{'z': -19.1894516, 'x': 356.0923243, 'y': 202.73672144, 'error': 0.001158692564775}","{'z': -19.239384620000003, 'x': 357.07949724, 'y': 202.57663743999996, 'error': -0.000709767415459}"
1439,P130,"{'z': -18.96679117, 'x': 409.317779035, 'y': 14.207204725}",439,5,409.317779035,14.207204725,-18.96679117,-70.0120916953865,410.16577510395535,-0.0828280727415619,"{'z': -18.88355434, 'x': 408.6166467, 'y': 13.958181020000001, 'error': -0.001216003441409}","{'z': -19.06289358, 'x': 410.13183468000005, 'y': 13.47756952, 'error': 0.0005013845169200001}","{'z': -18.941146540000002, 'x': 408.97205194000003, 'y': 15.103330500000002, 'error': 0.000146645352081}","{'z': -18.979570220000003, 'x': 409.55058282, 'y': 14.289737860000002, 'error': -0.0026689974909100004}"
1075,P133,"{'z': -2.769805629999999, 'x': 153.3485646, 'y': 41.610002055}",75,5,153.3485646,41.610002055,-2.769805629999999,-56.818749305384735,158.92661105371357,-0.0928063845769294,"{'z': -2.80626052, 'x': 153.7934288, 'y': 42.214139540000005, 'error': 0.001242607118425}","{'z': -2.73159054, 'x': 152.26183616, 'y': 41.753337720000005, 'error': -9.3632280730116e-05}","{'z': -2.801186139999999, 'x': 154.1385673, 'y': 41.06445824000001, 'error': -0.000123581124384}","{'z': -2.7401853199999993, 'x': 153.20042614, 'y': 41.40807272, 'error': 0.002186086906503}"
1541,P135,"{'z': -14.675187189999999, 'x': 295.43085893, 'y': 207.935225065}",541,5,295.43085893,207.935225065,-14.675187189999999,-36.86069215910838,361.6784307169701,-0.17119196952426707,"{'z': -14.73323782, 'x': 295.31034888000005, 'y': 208.67559264000002, 'error': 0.00245410140824}","{'z': -14.542744660000002, 'x': 294.57236266, 'y': 207.26141189999998, 'error': 0.002454833838478}","{'z': -14.801312200000002, 'x': 296.37054576, 'y': 208.11546638, 'error': 0.004393668125497001}","{'z': -14.623454079999998, 'x': 295.47017842, 'y': 207.68842934, 'error': 0.005206713944616001}"
2482,P001,"{'y': 59.210214425000004, 'x': 404.04954708500003, 'z': -18.83310349}",482,6,404.04954708500003,59.210214425000004,-18.83310349,-27.663102985103915,408.95894228896856,-0.06737982597147152,"{'y': 58.80105751999999, 'x': 403.42366792, 'error': 0.0014559865293410001, 'z': -18.75960712}","{'y': 58.69974116000001, 'x': 405.00311511999996, 'error': -0.010012980517202001, 'z': -18.94010088}","{'y': 59.99715964000001, 'x': 403.50932928000003, 'error': -0.004898821687723, 'z': -18.78372896}","{'y': 59.34289937999999, 'x': 404.26207601999994, 'error': 0.00104942504468, 'z': -18.848976999999998}"
2239,P009,"{'y': 149.622076165, 'x': 215.302891555, 'z': -7.607486545}",239,6,215.302891555,149.622076165,-7.607486545,-1.2031100896246547,262.3378455408816,-0.06552757746691978,"{'y': 149.07909046, 'x': 214.78604572, 'error': 0.001187211934822, 'z': -7.56091502}","{'y': 149.34385452, 'x': 216.36325748, 'error': 0.0013819097697590002, 'z': -7.674119679999999}","{'y': 150.26256347999998, 'x': 214.58633700000001, 'error': 0.000388684817133, 'z': -7.611613180000001}","{'y': 149.80279620000005, 'x': 215.47592602, 'error': 0.0013677153582580001, 'z': -7.5832983}"
2496,P064,"{'y': 185.48654693499998, 'x': 330.698105595, 'z': -16.138561785}",496,6,330.698105595,185.48654693499998,-16.138561785,-6.712199379601429,379.6341971726199,-0.10037823912710404,"{'y': 184.76657854, 'x': 330.49488180000003, 'error': 0.000140366436466, 'z': -16.08465306}","{'y': 185.73095184, 'x': 331.76270242, 'error': 0.0015195943582250002, 'z': -16.254430019999997}","{'y': 185.72232478, 'x': 329.76873914, 'error': 0.00030091314367000003, 'z': -16.0736807}","{'y': 185.72633258000002, 'x': 330.76609902, 'error': -0.000743511635511, 'z': -16.141483360000002}"
2011,P065,"{'y': 32.24771225, 'x': 53.912724190000006, 'z': -0.45713172}",11,6,53.912724190000006,32.24771225,-0.45713172,-5.114389998616524,62.82341057206877,-0.056307101812578815,"{'y': 31.616493339999998, 'x': 53.51494026, 'error': -0.003794134637183, 'z': -0.45498812000000005}","{'y': 32.17691742, 'x': 55.00533972000001, 'error': -0.0018629608930060002, 'z': -0.47402884000000006}","{'y': 32.74059476, 'x': 53.08554855999999, 'error': 0.0022861681585570003, 'z': -0.47090374}","{'y': 32.456843479999996, 'x': 54.04506822, 'error': -0.000872482310279, 'z': -0.42860618000000006}"
2542,P075,"{'y': 202.51826918999998, 'x': 357.268741995, 'z': -19.328428435}",542,6,357.268741995,202.51826918999998,-19.328428435,-6.453208713981314,411.3089736902507,-0.33330437827437387,"{'y': 201.87774649999997, 'x': 357.66006511999996, 'error': 0.0007142392572030001, 'z': -19.324112}","{'y': 203.46880646, 'x': 357.80812004, 'error': 0.002987265934411, 'z': -19.45213058}","{'y': 201.99494638000002, 'x': 356.46890554000004, 'error': 0.0012853965063050002, 'z': -19.219751}","{'y': 202.73157742, 'x': 357.13787728, 'error': 0.00048082116453, 'z': -19.31772016}"
2075,P084,"{'y': 41.301531485, 'x': 153.100471125, 'z': -2.754419995}",75,6,153.100471125,41.301531485,-2.754419995,-20.902841687523402,158.60625743213296,-0.08859457591181107,"{'y': 40.56260892, 'x': 153.23085414000002, 'error': 0.000523636840606, 'z': -2.76579308}","{'y': 41.99056394, 'x': 153.95404309999998, 'error': 0.000728730271467, 'z': -2.79234082}","{'y': 41.105343620000006, 'x': 152.16059646, 'error': -0.00041657764573500004, 'z': -2.73738512}","{'y': 41.547609460000004, 'x': 153.0563908, 'error': 0.002067630153776, 'z': -2.72216096}"
2321,P089,"{'y': 86.636638555, 'x': 304.273988165, 'z': -11.161333805}",321,6,304.273988165,86.636638555,-11.161333805,-20.10663384783689,316.63615192434884,-0.10576696508009356,"{'y': 87.244117, 'x': 304.71062522, 'error': 0.00028428958641300004, 'z': -11.21696194}","{'y': 86.77161146, 'x': 303.19292712, 'error': -0.005585145530675, 'z': -11.09763574}","{'y': 86.09669402, 'x': 305.06673782, 'error': -0.000619793375416, 'z': -11.203308640000001}","{'y': 86.43413174000001, 'x': 304.1256625, 'error': 0.003296378975691, 'z': -11.127428900000002}"
2534,P110,"{'y': 176.60537675999998, 'x': 367.924830005, 'z': -18.82854455}",534,6,367.924830005,176.60537675999998,-18.82854455,-10.358809597425315,408.71023659282014,-0.08725027281404817,"{'y': 176.06350709999998, 'x': 368.44358778000003, 'error': 0.0012266201744250001, 'z': -18.86673934}","{'y': 177.65058174, 'x': 368.24647964, 'error': 0.002915045871223, 'z': -18.945511200000002}","{'y': 175.92145808, 'x': 367.2575164, 'error': 0.002597099023228, 'z': -18.70652368}","{'y': 176.78596011999997, 'x': 367.7517362, 'error': 0.0023293732766560002, 'z': -18.79540398}"
